id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
2,C大阪,2.0,松田　陸,2524.0,DF,1991-07-24,171.0,69.0,2000,3.0,,,47.0,3.0,42.0,2.0,,,,,FC東京,C大阪,C大阪,1,2,1,9,42,31,0,2,2,473,3733,2662
5,C大阪,5.0,田中　裕介,279.0,DF,1986-04-14,181.0,77.0,2700,4.0,,,223.0,10.0,42.0,1.0,,,,,C大阪,C大阪,C大阪,2,2,1,9,33,18,1,0,0,664,2725,492
6,C大阪,6.0,山口　蛍,2970.0,MF,1990-10-06,173.0,72.0,6700,10.0,1.0,,134.0,12.0,58.0,2.0,,,38.0,2.0,C大阪・GER,C大阪,C大阪,2,2,1,35,19,32,1,1,2,3150,1800,2880
7,C大阪,7.0,水沼　宏太,1671.0,MF,1990-02-22,176.0,72.0,3000,2.0,,,194.0,24.0,50.0,7.0,9.0,3.0,,,鳥栖,FC東京,C大阪,1,1,1,32,17,24,7,1,3,2353,570,1901
8,C大阪,8.0,柿谷　曜一朗,1424.0,FW,1990-01-03,177.0,68.0,7200,10.0,1.0,,113.0,39.0,168.0,23.0,,,18.0,5.0,SUI,C大阪,C大阪,9,2,1,4,20,34,1,5,6,-,1635,2918
9,C大阪,9.0,杉本　健勇,2448.0,FW,1992-11-18,187.0,79.0,4000,8.0,1.0,,147.0,39.0,59.0,19.0,,,5.0,1.0,川崎F,C大阪,C大阪,1,2,1,24,41,34,6,14,22,1041,3487,2999
10,C大阪,10.0,清武　弘嗣,1369.0,MF,1989-11-12,172.0,66.0,11000,5.0,,,115.0,23.0,,,,,43.0,5.0,GER,SPA,C大阪,9,9,1,21,4,18,5,1,6,-,-,1289
11,C大阪,11.0,ソウザ,1793.0,MF,1988-03-08,183.0,75.0,6500,3.0,,brazil,33.0,4.0,39.0,8.0,,,,,BRA,C大阪,C大阪,9,2,1,27,39,33,3,8,4,-,3341,2825
13,C大阪,13.0,高木　俊幸,1868.0,FW,1991-05-25,170.0,64.0,2000,1.0,,,167.0,24.0,30.0,6.0,,,,,浦和,浦和,浦和,1,1,1,21,14,12,2,2,0,881,829,591
14,C大阪,14.0,丸橋　祐介,2957.0,DF,1990-09-02,178.0,73.0,3500,10.0,1.0,,177.0,8.0,79.0,1.0,,,,,C大阪,C大阪,C大阪,2,2,1,39,40,33,0,1,1,3510,3564,2947
15,C大阪,15.0,木本　恭生,1651.0,DF,1993-08-06,183.0,73.0,800,3.0,,,23.0,2.0,1.0,1.0,23.0,1.0,,,福岡,C大阪,C大阪,2,2,1,0,1,23,0,1,2,0,25,1296
18,C大阪,18.0,ヤン　ドンヒョン,849.0,FW,1986-03-28,186.0,80.0,6500,1.0,,korea,,,,,,,,,KOR,KOR,KOR,9,9,9,30,32,36,8,13,19,-,-,-
21,C大阪,21.0,キム　ジンヒョン,3060.0,GK,1987-07-06,192.0,82.0,10000,10.0,,korea,183.0,0.0,113.0,0.0,1.0,0.0,14.0,0.0,C大阪,C大阪,C大阪,2,2,1,24,39,31,0,0,0,2134,3465,2790
22,C大阪,22.0,マテイ　ヨニッチ,2970.0,DF,1991-01-29,187.0,83.0,8200,2.0,,croatia,34.0,6.0,,,,,,,KOR,KOR,C大阪,9,9,1,37,34,34,0,0,6,-,-,3032
