year,div,team_name,team_id
2019,J1,鹿島,1
2019,J1,広島,10
2019,J1,湘南,12
2019,J1,磐田,13
2019,J1,札幌,14
2019,J1,神戸,18
2019,J1,C大阪,20
2019,J1,川崎F,21
2019,J1,FC東京,22
2019,J1,浦和,3
2019,J1,大分,31
2019,J1,鳥栖,33
2019,J1,松本,46
2019,J1,横浜FM,5
2019,J1,仙台,54
2019,J1,清水,7
2019,J1,名古屋,8
2019,J1,G大阪,9
2019,J2,柏,11
2019,J2,千葉,2
2019,J2,福岡,23
2019,J2,京都,24
2019,J2,大宮,27
2019,J2,金沢,275
2019,J2,琉球,277
2019,J2,甲府,28
2019,J2,山形,29
2019,J2,山口,330
2019,J2,鹿児島,338
2019,J2,横浜FC,34
2019,J2,徳島,36
2019,J2,愛媛,37
2019,J2,岐阜,39
2019,J2,東京V,4
2019,J2,栃木,40
2019,J2,岡山,42
2019,J2,町田,45
2019,J2,長崎,47
2019,J2,新潟,78
2019,J2,水戸,94
2018,J1,鹿島,1
2018,J1,広島,10
2018,J1,柏,11
2018,J1,湘南,12
2018,J1,磐田,13
2018,J1,札幌,14
2018,J1,神戸,18
2018,J1,C大阪,20
2018,J1,川崎F,21
2018,J1,FC東京,22
2018,J1,浦和,3
2018,J1,鳥栖,33
2018,J1,長崎,47
2018,J1,横浜FM,5
2018,J1,仙台,54
2018,J1,清水,7
2018,J1,名古屋,8
2018,J1,G大阪,9
2018,J2,千葉,2
2018,J2,福岡,23
2018,J2,京都,24
2018,J2,大宮,27
2018,J2,金沢,275
2018,J2,甲府,28
2018,J2,山形,29
2018,J2,大分,31
2018,J2,山口,330
2018,J2,横浜FC,34
2018,J2,徳島,36
2018,J2,愛媛,37
2018,J2,熊本,38
2018,J2,岐阜,39
2018,J2,東京V,4
2018,J2,栃木,40
2018,J2,岡山,42
2018,J2,町田,45
2018,J2,松本,46
2018,J2,讃岐,48
2018,J2,新潟,78
2018,J2,水戸,94
2017,J1,鹿島,1
2017,J1,広島,10
2017,J1,柏,11
2017,J1,磐田,13
2017,J1,札幌,14
2017,J1,神戸,18
2017,J1,C大阪,20
2017,J1,川崎F,21
2017,J1,FC東京,22
2017,J1,大宮,27
2017,J1,甲府,28
2017,J1,浦和,3
2017,J1,鳥栖,33
2017,J1,横浜FM,5
2017,J1,仙台,54
2017,J1,清水,7
2017,J1,新潟,78
2017,J1,G大阪,9
2017,J2,湘南,12
2017,J2,千葉,2
2017,J2,福岡,23
2017,J2,京都,24
2017,J2,金沢,275
2017,J2,山形,29
2017,J2,大分,31
2017,J2,山口,330
2017,J2,横浜FC,34
2017,J2,群馬,35
2017,J2,徳島,36
2017,J2,愛媛,37
2017,J2,熊本,38
2017,J2,岐阜,39
2017,J2,東京V,4
2017,J2,岡山,42
2017,J2,町田,45
2017,J2,松本,46
2017,J2,長崎,47
2017,J2,讃岐,48
2017,J2,名古屋,8
2017,J2,水戸,94
2016,J1,広島,10
2016,J1,柏,11
2016,J1,湘南,12
2016,J1,磐田,13
2016,J1,神戸,18
2016,J1,鹿島,1
2016,J1,川崎F,21
2016,J1,FC東京,22
2016,J1,福岡,23
2016,J1,大宮,27
2016,J1,甲府,28
2016,J1,鳥栖,33
2016,J1,浦和,3
2016,J1,仙台,54
2016,J1,横浜FM,5
2016,J1,新潟,78
2016,J1,名古屋,8
2016,J1,G大阪,9
2016,J2,札幌,14
2016,J2,千葉,2
2016,J2,C大阪,20
2016,J2,京都,24
2016,J2,金沢,275
2016,J2,山形,29
2016,J2,山口,330
2016,J2,横浜FC,34
2016,J2,群馬,35
2016,J2,徳島,36
2016,J2,愛媛,37
2016,J2,熊本,38
2016,J2,岐阜,39
2016,J2,東京V,4
2016,J2,岡山,42
2016,J2,北九州,43
2016,J2,町田,45
2016,J2,松本,46
2016,J2,長崎,47
2016,J2,讃岐,48
2016,J2,清水,7
2016,J2,水戸,94
2015,J1,広島,10
2015,J1,柏,11
2015,J1,湘南,12
2015,J1,神戸,18
2015,J1,鹿島,1
2015,J1,川崎F,21
2015,J1,FC東京,22
2015,J1,甲府,28
2015,J1,山形,29
2015,J1,鳥栖,33
2015,J1,浦和,3
2015,J1,松本,46
2015,J1,仙台,54
2015,J1,横浜FM,5
2015,J1,新潟,78
2015,J1,清水,7
2015,J1,名古屋,8
2015,J1,G大阪,9
2015,J2,磐田,13
2015,J2,札幌,14
2015,J2,千葉,2
2015,J2,C大阪,20
2015,J2,福岡,23
2015,J2,京都,24
2015,J2,大宮,27
2015,J2,金沢,275
2015,J2,大分,31
2015,J2,横浜FC,34
2015,J2,群馬,35
2015,J2,徳島,36
2015,J2,愛媛,37
2015,J2,熊本,38
2015,J2,岐阜,39
2015,J2,東京V,4
2015,J2,栃木,40
2015,J2,岡山,42
2015,J2,北九州,43
2015,J2,長崎,47
2015,J2,讃岐,48
2015,J2,水戸,94
