id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
2,C大阪,2.0,松田　陸,2662.0,DF,1991-07-24 00:00:00,171.0,69.0,1800,2,,,16.0,1.0,42.0,2.0,,,,,FC東京,FC東京,C大阪,1,1,2,7,9,42,1,0,2,134,473,3733
3,C大阪,3.0,茂庭　照幸,7.0,DF,1981-09-08 00:00:00,181.0,82.0,3100,7,,,299.0,1.0,75.0,2.0,,,9.0,1.0,THA,C大阪,C大阪,9,2,2,32,14,20,0,2,0,-,441,1421
5,C大阪,5.0,田中　裕介,492.0,DF,1986-04-14 00:00:00,181.0,77.0,3100,3,,,205.0,10.0,42.0,1.0,,,,,川崎F・AUS,C大阪,C大阪,1,2,2,27,9,33,1,1,0,1908,664,2725
6,C大阪,6.0,ソウザ,2825.0,MF,1988-03-08 00:00:00,183.0,75.0,7100,2,,brazil,,,39.0,8.0,,,,,BRA・BRA,BRA,C大阪,9,9,2,23,8,39,1,0,8,-,-,3341
8,C大阪,7.0,関口　訓充,543.0,MF,1985-12-26 00:00:00,171.0,66.0,2500,3,,,111.0,6.0,247.0,20.0,,,3.0,0.0,浦和,C大阪,C大阪,1,2,2,7,31,26,0,1,2,205,2052,891
9,C大阪,8.0,柿谷　曜一朗,2918.0,FW,1990-01-03 00:00:00,177.0,68.0,7200,9,,,79.0,33.0,168.0,23.0,,,18.0,5.0,C大阪・SUI,SUI,C大阪,1,9,2,14,4,20,1,1,5,1153,-,1635
10,C大阪,9.0,杉本　健勇,2999.0,FW,1992-11-18 00:00:00,187.0,79.0,3200,7,1.0,,113.0,17.0,18.0,5.0,,,,,C大阪,川崎F,C大阪,1,1,2,32,24,41,5,6,14,2079,1041,3487
11,C大阪,10.0,山口　蛍,2880.0,MF,1990-10-06 00:00:00,173.0,72.0,5800,9,1.0,,102.0,10.0,58.0,2.0,,,29.0,2.0,C大阪,C大阪・GER,C大阪,1,2,2,19,35,19,1,1,1,1795,3150,1800
12,C大阪,11.0,リカルド　サントス,186.0,FW,1987-02-13 00:00:00,187.0,80.0,4800,2,,brazil,,,32.0,5.0,,,,,SWE,CHN,C大阪,9,9,2,27,27,32,15,11,5,-,-,2104
14,C大阪,14.0,丸橋　祐介,2947.0,DF,1990-09-02 00:00:00,178.0,73.0,2600,9,1.0,,144.0,7.0,79.0,1.0,,,,,C大阪,C大阪,C大阪,1,2,2,33,39,40,3,0,1,2918,3510,3564
